Time: 7.275000 Joint Angle [-0.06542,  0.56608,  0.46858, -1.49583, -0.26223,  1.14089,  0.44235] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.290000 Joint Angle [-0.06542,  0.56603,  0.46904, -1.49612, -0.26223,  1.14109,  0.44300] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.305000 Joint Angle [-0.06542,  0.56596,  0.46959, -1.49645, -0.26223,  1.14132,  0.44344] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.320000 Joint Angle [-0.06542,  0.56587,  0.47018, -1.49682, -0.26224,  1.14174,  0.44407] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.335000 Joint Angle [-0.06542,  0.56575,  0.47077, -1.49726, -0.26224,  1.14198,  0.44480] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.350000 Joint Angle [-0.06542,  0.56557,  0.47138, -1.49775, -0.26225,  1.14214,  0.44540] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.365000 Joint Angle [-0.06542,  0.56534,  0.47201, -1.49828, -0.26225,  1.14221,  0.44606] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.380000 Joint Angle [-0.06542,  0.56509,  0.47265, -1.49879, -0.26227,  1.14223,  0.44689] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.395000 Joint Angle [-0.06542,  0.56487,  0.47316, -1.49916, -0.26232,  1.14222,  0.44749] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.410000 Joint Angle [-0.06542,  0.56470,  0.47350, -1.49934, -0.26241,  1.14218,  0.44811] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.425000 Joint Angle [-0.06542,  0.56459,  0.47368, -1.49934, -0.26252,  1.14211,  0.44870] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.440000 Joint Angle [-0.06542,  0.56453,  0.47374, -1.49921, -0.26273,  1.14211,  0.44893] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.455000 Joint Angle [-0.06542,  0.56455,  0.47371, -1.49896, -0.26301,  1.14210,  0.44917] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
