Time: 7.200000 Joint Angle [ 0.07435,  0.54330,  0.25117, -1.49119, -0.13296,  1.12133,  0.34264] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.215000 Joint Angle [ 0.07437,  0.54317,  0.25139, -1.49166, -0.13297,  1.12198,  0.34265] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.230000 Joint Angle [ 0.07437,  0.54295,  0.25184, -1.49225, -0.13297,  1.12254,  0.34268] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.245000 Joint Angle [ 0.07437,  0.54269,  0.25241, -1.49291, -0.13297,  1.12267,  0.34273] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.260000 Joint Angle [ 0.07437,  0.54242,  0.25301, -1.49357, -0.13297,  1.12271,  0.34283] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.275000 Joint Angle [ 0.07437,  0.54215,  0.25361, -1.49419, -0.13297,  1.12271,  0.34293] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.290000 Joint Angle [ 0.07437,  0.54188,  0.25425, -1.49470, -0.13297,  1.12271,  0.34330] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.305000 Joint Angle [ 0.07437,  0.54165,  0.25482, -1.49499, -0.13297,  1.12263,  0.34393] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.320000 Joint Angle [ 0.07437,  0.54150,  0.25527, -1.49503, -0.13298,  1.12257,  0.34462] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.335000 Joint Angle [ 0.07437,  0.54141,  0.25565, -1.49493, -0.13298,  1.12253,  0.34508] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.350000 Joint Angle [ 0.07437,  0.54137,  0.25600, -1.49476, -0.13298,  1.12240,  0.34545] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.365000 Joint Angle [ 0.07437,  0.54138,  0.25635, -1.49447, -0.13298,  1.12233,  0.34588] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.380000 Joint Angle [ 0.07437,  0.54142,  0.25662, -1.49409, -0.13298,  1.12230,  0.34632] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.395000 Joint Angle [ 0.07437,  0.54148,  0.25681, -1.49360, -0.13298,  1.12230,  0.34670] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.410000 Joint Angle [ 0.07437,  0.54157,  0.25692, -1.49306, -0.13298,  1.12231,  0.34690] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.425000 Joint Angle [ 0.07437,  0.54167,  0.25701, -1.49250, -0.13299,  1.12232,  0.34703] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.440000 Joint Angle [ 0.07437,  0.54177,  0.25707, -1.49198, -0.13299,  1.12234,  0.34717] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.455000 Joint Angle [ 0.07437,  0.54187,  0.25708, -1.49146, -0.13299,  1.12234,  0.34732] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.470000 Joint Angle [ 0.07437,  0.54198,  0.25708, -1.49096, -0.13299,  1.12235,  0.34747] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.485000 Joint Angle [ 0.07437,  0.54207,  0.25708, -1.49053, -0.13299,  1.12235,  0.34757] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 7.500000 Joint Angle [ 0.07437,  0.54214,  0.25709, -1.49015, -0.13299,  1.12238,  0.34768] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
